wall,
floor,
cabinet,
bed,
chair,
sofa,
table,
door,
window,
bookshelf,shelves
picture,otherprop
counter,
blinds,otherprop
desk,table
shelves,
curtain,
dresser,otherprop
pillow,otherprop
mirror,otherprop
floor mat,floor
clothes,otherprop
ceiling,
books,otherprop
refridgerator,
television,
paper,otherprop
towel,otherprop
shower curtain,curtain
box,otherprop
whiteboard,otherprop
person,
nightstand,otherprop
toilet,
sink,
lamp,
bathtub,otherprop
bag,
otherstructure,otherprop
otherfurniture,otherprop
otherprop,
